==19518== NVPROF is profiling process 19518, command: ../optNP/lss --image ../inputs/fractal/fractal.intensities.pgm --labels ../inputs/fractal/fractal.label.pgm --params ../inputs/fractal/fractal.params
==19518== Profiling application: ../optNP/lss --image ../inputs/fractal/fractal.intensities.pgm --labels ../inputs/fractal/fractal.label.pgm --params ../inputs/fractal/fractal.params
==19518== Profiling result:
   Start  Duration  Name
431.79ms  2.0340us  cudaEventDestroy
431.80ms     939ns  cudaEventDestroy
431.82ms  1.9142ms  cudaMemcpy
433.73ms  22.764us  cudaMemcpy
433.75ms  178.17us  cudaFree
433.93ms  133.53us  cudaFree
434.07ms  128.79us  cudaFree
434.20ms  129.01us  cudaFree
434.33ms  10.449us  cudaFree
434.34ms  6.4690us  cudaFree
434.34ms  6.0260us  cudaFree
434.35ms  128.52us  cudaFree
434.48ms  7.3680us  cudaFree
434.49ms  3.9900us  cudaEventRecord
434.49ms  9.1560us  cudaEventSynchronize
434.50ms  1.8800us  cudaEventElapsedTime
434.50ms  1.2160us  cudaEventDestroy
434.50ms     841ns  cudaEventDestroy
