==19444== NVPROF is profiling process 19444, command: ../optNonNP/lss --image ../inputs/fractal/fractal.intensities.pgm --labels ../inputs/fractal/fractal.label.pgm --params ../inputs/fractal/fractal.params
==19444== Profiling application: ../optNonNP/lss --image ../inputs/fractal/fractal.intensities.pgm --labels ../inputs/fractal/fractal.label.pgm --params ../inputs/fractal/fractal.params
==19444== Profiling result:
   Start  Duration  Name
342.32ms     223ns  cudaSetupArgument
342.32ms     226ns  cudaSetupArgument
342.32ms  12.441us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [136])
342.33ms  1.3329ms  cudaMemcpyAsync
343.67ms  6.2600us  cudaMemcpyAsync
343.67ms     388ns  cudaConfigureCall
343.67ms     397ns  cudaSetupArgument
343.68ms     235ns  cudaSetupArgument
343.68ms     234ns  cudaSetupArgument
343.68ms     226ns  cudaSetupArgument
343.68ms     220ns  cudaSetupArgument
343.68ms     226ns  cudaSetupArgument
343.68ms     224ns  cudaSetupArgument
343.68ms  11.414us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [147])
343.69ms  1.0001ms  cudaMemcpyAsync
344.69ms  5.9200us  cudaMemcpyAsync
344.70ms     386ns  cudaConfigureCall
344.70ms     387ns  cudaSetupArgument
344.70ms     238ns  cudaSetupArgument
344.70ms     234ns  cudaSetupArgument
344.70ms     223ns  cudaSetupArgument
344.70ms     224ns  cudaSetupArgument
344.70ms     223ns  cudaSetupArgument
344.70ms     224ns  cudaSetupArgument
344.70ms  11.190us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [158])
344.71ms  986.71us  cudaMemcpyAsync
345.70ms  5.9490us  cudaMemcpyAsync
345.71ms     353ns  cudaConfigureCall
345.71ms     407ns  cudaSetupArgument
345.71ms     235ns  cudaSetupArgument
345.71ms     234ns  cudaSetupArgument
345.71ms     224ns  cudaSetupArgument
345.71ms     227ns  cudaSetupArgument
345.71ms     222ns  cudaSetupArgument
345.71ms     224ns  cudaSetupArgument
345.71ms  10.534us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [169])
345.72ms  979.59us  cudaMemcpyAsync
