==11214== NVPROF is profiling process 11214, command: ./acclNP
==11214== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==11214== Profiling application: ./acclNP
==11214== Profiling result:
==11214== Metric result:
Invocations                               Metric Name                        Metric Description         Min         Max         Avg
Device "GeForce GTX TITAN (0)"
	Kernel: findSpansKernel(int*, int*, int const *, int, int)
          4                  l1_cache_global_hit_rate                        L1 Global Hit Rate       0.00%       0.00%       0.00%
          4                   l1_cache_local_hit_rate                         L1 Local Hit Rate       0.00%       0.00%       0.00%
          4                             sm_efficiency                   Multiprocessor Activity       7.09%       7.09%       7.09%
          4                                       ipc                              Executed IPC    0.308604    0.320237    0.313871
          4                        achieved_occupancy                        Achieved Occupancy    0.207488    0.212216    0.209837
          4                  gld_requested_throughput          Requested Global Load Throughput  1.1243GB/s  1.1495GB/s  1.1407GB/s
          4                  gst_requested_throughput         Requested Global Store Throughput  12.955MB/s  18.998MB/s  16.020MB/s
          4                    sm_efficiency_instance                   Multiprocessor Activity       7.09%       7.09%       7.09%
          4                              ipc_instance                              Executed IPC    0.308604    0.320237    0.313871
          4                      inst_replay_overhead               Instruction Replay Overhead    1.241680    1.269499    1.255483
          4                    shared_replay_overhead             Shared Memory Replay Overhead    0.000000    0.000000    0.000000
          4                    global_replay_overhead             Global Memory Replay Overhead    1.105634    1.131179    1.118406
          4              global_cache_replay_overhead       Global Memory Cache Replay Overhead    0.000000    0.000000    0.000000
          4                        tex_cache_hit_rate                    Texture Cache Hit Rate       0.00%       0.00%       0.00%
          4                      tex_cache_throughput                  Texture Cache Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          4                      dram_read_throughput             Device Memory Read Throughput  1.8639GB/s  3.5398GB/s  2.3981GB/s
          4                     dram_write_throughput            Device Memory Write Throughput  104.93MB/s  151.99MB/s  128.51MB/s
          4                            gst_throughput                   Global Store Throughput  103.64MB/s  151.99MB/s  128.16MB/s
          4                            gld_throughput                    Global Load Throughput  8.9940GB/s  9.1958GB/s  9.1259GB/s
          4                     local_replay_overhead        Local Memory Cache Replay Overhead    0.000000    0.000000    0.000000
          4                         shared_efficiency                  Shared Memory Efficiency       0.00%       0.00%       0.00%
          4                            gld_efficiency             Global Memory Load Efficiency      12.50%      12.50%      12.50%
          4                            gst_efficiency            Global Memory Store Efficiency      12.50%      12.50%      12.50%
          4                       l2_l1_read_hit_rate                    L2 Hit Rate (L1 Reads)      87.55%      87.57%      87.56%
          4                  l2_texture_read_hit_rate               L2 Hit Rate (Texture Reads)       0.00%       0.00%       0.00%
          4                     l2_l1_read_throughput                  L2 Throughput (L1 Reads)  8.9940GB/s  9.1958GB/s  9.1259GB/s
          4                l2_texture_read_throughput             L2 Throughput (Texture Reads)  0.00000B/s  0.00000B/s  0.00000B/s
          4                     local_memory_overhead                     Local Memory Overhead       0.01%       0.01%       0.01%
          4                 warp_execution_efficiency                 Warp Execution Efficiency      89.16%      90.64%      89.90%
          4               nc_gld_requested_throughput  Requested Non-Coherent Global Load Throu  0.00000B/s  0.00000B/s  0.00000B/s
          4                                issued_ipc                                Issued IPC    0.700110    0.715659    0.707770
          4                             inst_per_warp                     Instructions per warp  1.4020e+04  1.4392e+04  1.4206e+04
          4                    issue_slot_utilization                    Issue Slot Utilization      15.42%      15.72%      15.57%
          4       local_load_transactions_per_request  Local Memory Load Transactions Per Reque    0.000000    0.000000    0.000000
          4      local_store_transactions_per_request  Local Memory Store Transactions Per Requ    0.000000    0.000000    0.000000
          4      shared_load_transactions_per_request  Shared Memory Load Transactions Per Requ    0.000000    0.000000    0.000000
